Line #,Flight Date Time,Flt. #,Acft. Reg.,Acft. Type Code,Location Code @ Type,,Flt. Info. Rgn.,Max. Take Off Weight @UOM,Route Date Time @ Type,,Weight Factor,"WP
Code",Distance @ UOM,,Quantity,Unit Price,Charge Amount,
20,"2025-09-01
18:19",AIC2 202,VTTVC,A21N,"OMDB  @  Origin
VABB  @  Destination",,"0
0","89.0000  @
TON","2025-09-01  15:46  @  Entry
2025-09-01  15:15  @  Exit",,1.2200,GOMTA PARAR,"747.000  @  KM
747.000  @  KM",,1.0000,285.61,285.61,
20,"2025-09-01
18:26",AIC2 209,VTTSO,B789,"VIDP  @  Origin
OMDB  @  Destination",,"0
0","255.0000  @
TON","2025-09-01  17:22  @  Entry
2025-09-01  15:00  @  Exit",,1.7100,RASKI MENSA,"781.000  @  KM
781.000  @  KM",,1.0000,418.55,418.55,
20,"2025-09-01
18:36","AIC9
35",VTTQI,A20N,"VABB  @  Origin
OEDF  @  Destination",,"0
0","77.0000  @
TON","2025-09-01  17:05  @  Entry
2025-09-01  15:10  @  Exit",,1.2200,"PARAR
MENSA","726.000  @  KM
726.000  @  KM",,1.0000,277.58,277.58,
20,"2025-09-01
18:56","AIC1
33",VTNAC,B788,"VOBL  @  Origin
EGLL  @  Destination",,"0
0","228.0000  @
TON","2025-09-01  11:53  @  Entry
2025-09-01  09:00  @  Exit",,1.7100,"REXOD
SODEX","692.000  @  KM
692.000  @  KM",,1.0000,370.85,370.85,
20,"2025-09-01
20:41",AIC9 16,VTANV,B788,"VIDP  @  Destination
OMDB  @  Origin",,"0
0","228.0000  @
TON","2025-09-01  17:05  @  Exit
2025-09-01  17:52  @  Entry",,1.7100,RASKI LALDO,"799.000  @  KM
799.000  @  KM",,1.0000,428.20,428.20,
20,"2025-09-01
20:42","AIC1
28",VTAEN,B77W,"VABB  @  Destination
EGLL  @  Origin",,"0
0","352.0000  @
TON","2025-09-01  11:30  @  Exit
2025-09-01  18:19  @  Entry",,1.9500,"PARAR
TONVO","732.000  @  KM
732.000  @  KM",,1.0000,447.35,447.35,
20,"2025-09-01
21:55",AIC9 70,VTPPO,A321,VABB  @  Destination OTHH  @  Origin,,"0
0",89.0000  @ TON,"2025-09-01  18:30  @  Exit
2025-09-01  19:24  @  Entry",,1.2200,PARAR TONVO,"732.000  @  KM
732.000  @  KM",,1.0000,279.88,279.88,
20,"2025-09-01
22:36",AIC2 290,VTEXJ,A20N,"VABB  @  Destination
OTHH  @  Origin",,"0
0","77.0000  @
TON","2025-09-01  19:15  @  Exit
2025-09-01  20:06  @  Entry",,1.2200,PARAR TONVO,"732.000  @  KM
732.000  @  KM",,1.0000,279.88,279.88,
20,"2025-09-01
22:37","AIC2
287",VTTNW,A20N,"OEDF  @  Destination
VABB  @  Origin",,"0
0","77.0000  @
TON","2025-09-01  19:30  @  Exit
2025-09-01  21:07  @  Entry",,1.2200,"MENSA
PARAR","726.000  @  KM
726.000  @  KM",,1.0000,277.58,277.58,
20,"2025-09-01
22:47",AIC9 84,VTANP,B788,"OMDB  @  Origin
VABB  @  Destination",,"0
0","228.0000  @
TON","2025-09-01  20:22  @  Entry
2025-09-01  19:40  @  Exit",,1.7100,GOMTA PARAR,"747.000  @  KM
747.000  @  KM",,1.0000,400.33,400.33,
